Impressions;Opens;Name;Captures;Shares;Saves;Uses;Average time open
19,396,288,025;831,008,314;Vintage Paris;222,635,566;37,357,850;32,383,147;-;16s
1,290,923,159;277,280,255;LVSHINE;89,323,294;8,557,356;259,249;12,047;22s
3,529,181,576;263,110,872;Autumn PRESETS;58,163,370;8,327,579;6,720,573;293,112;18s
2,160,379,892;116,186,107;Vintage Shanghai;28,834,104;5,051,995;6,655,531;-;13s
2,262,767,976;101,943,807;Vintage Movie;25,858,270;4,106,324;5,144,157;-;21s
1,456,886,008;85,596,160;BEAUTY 2.0;23,525,030;2,506,505;4,914,785;-;23s
982,768,932;36,704,232;Paris;7,271,085;1,213,207;1,695,865;236,160;9s
205,665,871;15,752,253;Parisian Glow;4,126,197;884,258;1,496,441;162,010;13s
562,617,906;18,708,103;Vintage Paris 2.0;4,278,745;838,803;1,498,123;-;18s
148,571,451;22,618,605;SUNKISSED 2.0;5,817,433;728,292;1,630,818;-;17s
137,309,606;16,882,717;A4 + A6;2,704,832;498,155;776,390;139,163;8s
136,100,465;20,515,066;LOGOMANIA;4,478,900;411,927;23,055;1,123;21s
126,813,976;12,643,055;Toasty Mood;2,193,839;342,355;329,412;305;14s
78,698,899;21,512,700;GG;3,341,881;333,473;298,539;-;11s
-;-;Blue eyes 2.0

;-;-;-;-;-
51,332,644;10,528,856;A.M.;1,722,598;233,152;165,075;-;5s
112,111,728;4,762,425;Toasty 2.0;1,077,794;208,653;324,493;-;12s
-;-;Coffee cream
;-;-;-;-;-
-;-;Snowflakes

;-;-;-;-;-
-;-;Movie Glow

;-;-;-;-;-
-;-;ICE BABY 2.0

;-;-;-;-;-
-;-;PRESETS
;-;-;-;-;-
-;-;Beauty freckles
;-;-;-;-;-
-;-;Perfect Fresh Face

;-;-;-;-;-
148,488,281;4,608,831;Perfect FRESH Face;1,241,917;101,435;510,303;-;17s
-;-;KIRA-DASHA
;-;-;-;-;-
15,027,517;4,539,488;GREEN EYES;1,153,861;97,339;303,297;-;9s
-;-;YSL glitter
;-;-;-;-;-
-;-;Shainimal
;-;-;-;-;-
-;-;Di - Glitter
;-;-;-;-;-
-;-;80's

;-;-;-;-;-
-;-;Highlighter
;-;-;-;-;-
-;-;Shine Stars
;-;-;-;-;-
29,537,892;2,551,961;Beauty freckles;454,232;60,683;36,661;-;14s
-;-;B-neon

;-;-;-;-;-
-;-;SL glitter
;-;-;-;-;-
7,276,498;4,718,306;Shine Shine;514,536;31,239;28,944;4,689;12s
-;-;Rich bb
;-;-;-;-;-
-;-;Film vintage
;-;-;-;-;-
3,299,983;1,028,968;Fresh Cherrie Pie;239,408;28,439;62,513;-;9s
-;-;Shine bb
;-;-;-;-;-
-;-;FLOWER PWR

;-;-;-;-;-
-;-;Sepia
;-;-;-;-;-
-;-;Glitter Face
;-;-;-;-;-
-;-;Good Movie

;-;-;-;-;-
-;-;Festival make up

;-;-;-;-;-
-;-;FASHOW
;-;-;-;-;-
2,833,162;658,744;Vintage Kira;107,333;17,615;36,403;-;6s
-;-;The Purge

;-;-;-;-;-
7,251,384;511,398;Colourful glow;87,058;15,552;27,547;1,344;8s
-;-;Draw your magic

;-;-;-;-;-
-;-;Glitter eye-liner
;-;-;-;-;-
-;-;Roses & Kira

;-;-;-;-;-
-;-;Dollar bb

;-;-;-;-;-
-;-;NUAGE

;-;-;-;-;-
-;-;Tattoo master
;-;-;-;-;-
2,546,913;630,373;Parisian;93,010;10,701;24,226;-;7s
-;-;Peony & Kira

;-;-;-;-;-
-;-;Neon morning

;-;-;-;-;-
-;-;Sun Shadow

;-;-;-;-;-
-;-;V-neon

;-;-;-;-;-
-;-;Fresh ice cream bb

;-;-;-;-;-
-;-;NEON LOVE

;-;-;-;-;-
-;-;ICE BABY ❄️

;-;-;-;-;-
-;-;Oldie

;-;-;-;-;-
-;-;PIKA PIKA

;-;-;-;-;-
-;-;Cute meow
;-;-;-;-;-
-;-;90's style

;-;-;-;-;-
-;-;NO BAD VIBES

;-;-;-;-;-
486,790;272,532;Vintage magazine;27,463;4,218;9,523;-;6s
-;-;i love myself

;-;-;-;-;-
-;-;Draw a heart

;-;-;-;-;-
-;-;PRIDE

;-;-;-;-;-
145,944;366,208;LV SHINE HOLO

;35,237;2,527;10,805;-;3s
-;-;Vintage Vogue

;-;-;-;-;-
-;-;Beauty lashes
;-;-;-;-;-
-;-;Fashion

;-;-;-;-;-
389;3,053;J.STAR;236;7;109;7;6s
-;-;invite 2
;-;-;-;-;-
-;-;invite only test
;-;-;-;-;-
-;-;downtown.arexport
;-;-;-;-;-
